asset_id,channel,utm_source,utm_medium,utm_campaign,utm_content,destination,tagged_url
email_announcement,Email,email,owned_email,agentx_oct2026_launch,announcement,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=email&utm_medium=owned_email&utm_campaign=agentx_oct2026_launch&utm_content=announcement
email_use_cases,Email,email,owned_email,agentx_oct2026_launch,use_cases,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=email&utm_medium=owned_email&utm_campaign=agentx_oct2026_launch&utm_content=use_cases
email_fundamentals,Email,email,owned_email,agentx_oct2026_launch,fundamentals,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=email&utm_medium=owned_email&utm_campaign=agentx_oct2026_launch&utm_content=fundamentals
email_deadline,Email,email,owned_email,agentx_oct2026_launch,launch_rate_deadline,https://agentxaicourse.com/register/,https://agentxaicourse.com/register/?utm_source=email&utm_medium=owned_email&utm_campaign=agentx_oct2026_launch&utm_content=launch_rate_deadline
linkedin_launch,LinkedIn,linkedin,organic_social,agentx_oct2026_launch,launch_announcement,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=launch_announcement
linkedin_fundamentals,LinkedIn,linkedin,organic_social,agentx_oct2026_launch,agentic_fundamentals,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=agentic_fundamentals
linkedin_use_cases,LinkedIn,linkedin,organic_social,agentx_oct2026_launch,everyday_use_cases,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=linkedin&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=everyday_use_cases
instagram_launch,Instagram,instagram,organic_social,agentx_oct2026_launch,launch_caption,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=launch_caption
nextdoor_local,Nextdoor,nextdoor,organic_social,agentx_oct2026_launch,tenafly_community,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=nextdoor&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=tenafly_community
facebook_personal,Facebook,facebook,organic_social,agentx_oct2026_launch,personal_network,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=facebook&utm_medium=organic_social&utm_campaign=agentx_oct2026_launch&utm_content=personal_network
sms_referral,Text message,sms,referral,agentx_oct2026_launch,friend_forward,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=sms&utm_medium=referral&utm_campaign=agentx_oct2026_launch&utm_content=friend_forward
press_editor,Local press,local_press,earned_media,agentx_oct2026_launch,community_editor,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=local_press&utm_medium=earned_media&utm_campaign=agentx_oct2026_launch&utm_content=community_editor
partner_outreach,Community partner,community_partner,partner_referral,agentx_oct2026_launch,member_newsletter,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=community_partner&utm_medium=partner_referral&utm_campaign=agentx_oct2026_launch&utm_content=member_newsletter
partner_newsletter,Partner newsletter,community_newsletter,partner_email,agentx_oct2026_launch,course_blurb,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=community_newsletter&utm_medium=partner_email&utm_campaign=agentx_oct2026_launch&utm_content=course_blurb
qr_handout,Printed handout,local_print,qr_code,agentx_oct2026_launch,course_handout,https://agentxaicourse.com/,https://agentxaicourse.com/?utm_source=local_print&utm_medium=qr_code&utm_campaign=agentx_oct2026_launch&utm_content=course_handout
